City,Temp,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
santa rosa,56.25,33.0,AR,1572143894.0,52.0,-36.62,-64.29,56.25,2.77
berlevag,32.86,98.0,NO,1572143992.0,61.0,70.86,29.09,32.86,10.27
terney,45.28,0.0,RU,1572143992.0,35.0,45.05,136.61,45.28,5.75
talcahuano,57.2,75.0,CL,1572143992.0,87.0,-36.72,-73.12,57.2,4.7
la asuncion,69.67,0.0,AR,1572143992.0,44.0,-26.05,-65.39,69.67,8.12
constitucion,64.4,40.0,MX,1572143992.0,52.0,23.99,-104.67,64.4,4.7
kachiry,44.53,99.0,KZ,1572143992.0,79.0,53.07,76.1,44.53,20.38
lukovetskiy,30.2,90.0,RU,1572143993.0,74.0,64.29,41.92,30.2,8.95
aqtobe,39.2,0.0,KZ,1572144053.0,60.0,50.28,57.21,39.2,10.42
saleilua,,,,,,,,,
bambous virieux,71.02,40.0,MU,1572144053.0,94.0,-20.34,57.76,72.0,4.7
hailar,34.48,20.0,CN,1572144053.0,66.0,49.2,119.7,34.48,10.04
ixtapa,82.2,40.0,MX,1572144054.0,78.0,20.71,-105.21,82.4,1.59
port jervis,51.93,90.0,US,1572143885.0,71.0,41.38,-74.69,55.4,2.26
khagaul,69.8,75.0,IN,1572144054.0,100.0,25.63,85.04,69.8,3.36
urumqi,,,,,,,,,
dondo,74.25,0.0,MZ,1572144054.0,70.0,-19.62,34.74,74.25,3.31
kattivakkam,82.71,40.0,IN,1572144054.0,88.0,13.22,80.32,82.99,2.89
mahebourg,71.06,40.0,MU,1572144054.0,94.0,-20.41,57.7,72.0,4.7
beloha,73.99,67.0,MG,1572144055.0,70.0,-25.17,45.06,73.99,10.31
wulanhaote,,,,,,,,,
shingu,69.8,75.0,JP,1572144055.0,68.0,33.72,135.99,69.8,6.93
nuevitas,75.2,75.0,CU,1572144055.0,100.0,21.55,-77.27,75.2,2.24
westpunt,,,,,,,,,
derzhavinsk,44.56,0.0,KZ,1572144055.0,80.0,51.1,66.31,44.56,16.46
amberieu-en-bugey,51.33,66.0,FR,1572144055.0,82.0,45.96,5.34,57.99,8.05
sistranda,41.07,75.0,NO,1572144055.0,93.0,63.73,8.83,44.01,4.7
grindavik,24.6,27.0,IS,1572144056.0,68.0,63.84,-22.43,28.4,6.93
willowmore,49.33,6.0,ZA,1572144056.0,95.0,-33.3,23.49,49.33,3.02
mancio lima,,,,,,,,,
mehamn,22.82,98.0,NO,1572144056.0,80.0,71.03,27.85,22.82,6.4
pingliang,49.91,0.0,CN,1572144056.0,22.0,35.54,106.68,49.91,3.67
souillac,54.28,100.0,FR,1572144056.0,87.0,45.6,-0.6,57.2,2.24
havoysund,26.6,99.0,NO,1572144056.0,73.0,71.0,24.66,26.6,10.29
christchurch,72.09,100.0,NZ,1572144056.0,35.0,-43.53,172.64,75.99,19.46
dzhebariki-khaya,16.88,0.0,RU,1572144057.0,83.0,62.22,135.8,16.88,3.24
key largo,80.71,1.0,US,1572144008.0,94.0,25.09,-80.45,82.99,10.04
san vicente de canete,59.79,69.0,PE,1572144057.0,91.0,-13.08,-76.38,59.79,3.96
dalnerechensk,44.74,0.0,RU,1572144057.0,46.0,45.93,133.72,44.74,8.77
burica,,,,,,,,,
bodden town,79.38,75.0,KY,1572144058.0,83.0,19.28,-81.25,80.6,10.29
hithadhoo,81.79,78.0,MV,1572144058.0,77.0,-0.6,73.08,81.79,14.7
biak,81.34,13.0,ID,1572144058.0,78.0,-0.91,122.88,81.34,12.57
khambhaliya,78.8,75.0,IN,1572144058.0,69.0,22.21,69.65,78.8,10.29
ihosy,63.77,0.0,MG,1572144058.0,88.0,-22.4,46.13,63.77,9.98
